kind,label,angle_deg,det_rotation,pca_sign_parity,pca_signs,pca_basis_offdiag,d2_shape,sliced_wasserstein,sliced_wasserstein_sign_spread,occupancy_dice,occupancy_resolution,scale_log_ratio
random_so3,random_12,,0.9999999999999999,-1,-++,7.738155470010844e-16,0.00125723769748908,0.03846190335398333,0.039119667280718896,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_13,,1.0,1,-+-,9.253356924683794e-16,0.0012572376974890878,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_14,,0.9999999999999996,1,-+-,1.5259251664605823e-15,0.0012572376974890754,6.180589550714109e-16,0.08091466581294951,1.0,1.9142807884020079,-2.2204460492503136e-16
random_so3,random_15,,0.9999999999999998,1,-+-,3.0365626078252447e-15,0.0012572376974890782,0.03846190335398335,0.039119667280718876,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_16,,1.0000000000000002,1,--+,1.9905572865542112e-15,0.0012572376974890912,0.03846190335398334,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_17,,0.9999999999999997,1,--+,1.7066780892225349e-15,0.0012572376974890908,2.3299295706744743e-16,0.08091466581294991,1.0,1.9142807884020079,-2.2204460492503136e-16
random_so3,random_18,,1.0,-1,-++,3.243030545825374e-14,0.0012572376974890867,0.038461903353983265,0.03911966728071899,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_19,,1.0,1,--+,6.286442637241768e-16,0.0012572376974890804,0.038461903353983355,0.03911966728071887,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_20,,1.0000000000000002,1,+++,1.1725612003925802e-15,0.0012572376974890687,6.882256984902697e-16,0.08091466581294948,1.0,1.9142807884020079,2.2204460492503128e-16
random_so3,random_21,,0.9999999999999998,1,--+,9.12177056655286e-16,0.0012572376974890865,5.7586428934125e-16,0.08091466581294958,1.0,1.9142807884020079,0.0
random_so3,random_22,,1.0,-1,---,8.956296996608024e-16,0.001257237697489077,0.03846190335398335,0.039119667280718876,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_23,,0.9999999999999999,-1,---,3.377799206175449e-15,0.0012572376974890889,0.03846190335398333,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
